"Dusicyon, "Phlaocyon", 0.06885, 0.3965
"Osbornodon, "Phlaocyon", 14.785, 18.2
"Cynarctoides, "Phlaocyon", 22.615000000000002, 28.55
"Tomarctus, "Phlaocyon", 14.1815, 18.2
"Hesperocyon", "Phlaocyon", 25.615000000000002, 43.3
"Otocyon", "Phlaocyon", 0.39635000000000004, 3.0940000000000003
"Borophagus, "Phlaocyon", 3.35, 14.1815
"Borophagus, "Phlaocyon", 11.95, 14.1815
"Cuon, "Phlaocyon", 0.06885, 1.29985
"Cynarctoides, "Phlaocyon", 14.785, 25.615000000000002
"Carpocyon, "Phlaocyon", 11.95, 14.1815
"Mesocyon, "Phlaocyon", 22.615000000000002, 33.599999999999994
"Otarocyon, "Phlaocyon", 25.615000000000002, 28.55
"Desmocyon, "Phlaocyon", 18.2, 18.2
"Vulpes, "Phlaocyon", 0.063, 3.35
"Hesperocyon, "Phlaocyon", 32.05, 38.8
"Cynodesmus, "Phlaocyon", 25.615000000000002, 25.615000000000002
"Cynarctus, "Phlaocyon", 14.895, 18.205000000000002
"Vulpes, "Phlaocyon", 0.06885, 0.06885
"Cubacyon, "Phlaocyon", 1.294, 1.294
"Desmocyon, "Phlaocyon", 14.1815, 25.615000000000002
"Cormocyon", "Phlaocyon", 28.55, 28.55
"Euoplocyon, "Phlaocyon", 14.785, 18.2
"Paratomarctus, "Phlaocyon", 9.25, 14.1815
"Canidae", "Phlaocyon", 0.06885, 35.55
"Canis, "Phlaocyon", 1.6845, 1.6845
"Archaeocyon, "Phlaocyon", 25.615000000000002, 25.615000000000002
"Canis, "Phlaocyon", 0.00585, 1.294
"Canis, "Phlaocyon", 1.05, 1.05
"Canis, "Phlaocyon", 1.6845, 1.6845
"Caedocyon, "Phlaocyon", 25.615000000000002, 25.615000000000002
"Enhydrocyon, "Phlaocyon", 25.615000000000002, 25.615000000000002
"Epicyon, "Phlaocyon", 7.6000000000000005, 7.6000000000000005
"Metalopex, "Phlaocyon", 7.6000000000000005, 7.6000000000000005
"Aelurodon, "Phlaocyon", 14.785, 14.785
"Urocyon, "Phlaocyon", 3.35, 3.35
"Enhydrocyon, "Phlaocyon", 22.615000000000002, 22.615000000000002
"Paraenhydrocyon, "Phlaocyon", 22.615000000000002, 25.615000000000002
"Borophagus, "Phlaocyon", 4.4665, 7.6000000000000005
"Protemnocyon, "Phlaocyon", 33.599999999999994, 33.599999999999994
"Speothos", "Phlaocyon", 1.29985, 1.29985
"Ectopocynus, "Phlaocyon", 25.615000000000002, 25.615000000000002
"Nyctereutes, "Phlaocyon", 0.06885, 1.294
"Gobicyon", "Phlaocyon", 10.6515, 12.719999999999999
"Xenocyon, "Phlaocyon", 0.4535, 1.6845
"Canis, "Phlaocyon", 0.00585, 3.9605
"Speothos, "Phlaocyon", 0.00585, 0.00585
"Hesperocyoninae", "Phlaocyon", 22.615000000000002, 28.55
"Urocyon, "Phlaocyon", 3.35, 3.35
"Canis, "Phlaocyon", 0.06885, 2.6
"Leptocyon, "Phlaocyon", 18.2, 25.615000000000002
"Protomarctus, "Phlaocyon", 14.1815, 18.205000000000002
"Archaeocyon, "Phlaocyon", 25.615000000000002, 32.05
"Philotrox, "Phlaocyon", 25.615000000000002, 28.55
"Theriodictis", "Phlaocyon", 0.06885, 1.6845
"Borophagus, "Phlaocyon", 7.6000000000000005, 14.1815
"Dusicyon", "Phlaocyon", 0.00585, 1.29985
"Theriodictis, "Phlaocyon", 3.35, 3.35
"Ectopocynus, "Phlaocyon", 25.615000000000002, 32.05
"Tomarctus", "Phlaocyon", 11.95, 14.895
"Carpocyon, "Phlaocyon", 7.6000000000000005, 14.785
"Tephrocyon, "Phlaocyon", 14.1815, 14.785
"Canis, "Phlaocyon", 0.06885, 3.35
"Dusicyon, "Phlaocyon", 1.29985, 1.29985
"Phlaocyon, "Phlaocyon", 18.2, 18.2
"Chrysocyon, "Phlaocyon", 1.294, 1.6845
"Microtomarctus, "Phlaocyon", 14.1815, 18.2
"Vulpes", "Phlaocyon", 0.00585, 7.6000000000000005
"Canis, "Phlaocyon", 0.00585, 3.0940000000000003
"Protepicyon, "Phlaocyon", 14.785, 14.785
"Carpocyon, "Phlaocyon", 7.6000000000000005, 7.6000000000000005
"Enhydrocyon, "Phlaocyon", 22.615000000000002, 28.55
"Osbornodon, "Phlaocyon", 18.2, 19.5
"Cynarctoides, "Phlaocyon", 18.2, 18.2
"Leptocyon, "Phlaocyon", 22.615000000000002, 22.615000000000002
"Canis, "Phlaocyon", 0.00585, 3.0940000000000003
"Osbornodon, "Phlaocyon", 25.615000000000002, 32.05
"Neovulpavus, "Phlaocyon", 43.3, 43.3
"Vulpes, "Phlaocyon", 1.05, 14.785
"Phlaocyon, "Phlaocyon", 22.615000000000002, 22.615000000000002
"Cynarctus, "Phlaocyon", 11.95, 11.95
"Urocyon, "Phlaocyon", 1.05, 1.05
"Cynarctoides, "Phlaocyon", 25.615000000000002, 28.55
laocyon",22.615000000000002,28.55
"Leptocyon,"Phlaocyon",25.615000000000002,25.615000000000002
"Phlaocyon,"Phlaocyon",18.2,22.615000000000002
"Phlaocyon,"Phlaocyon",18.2,25.615000000000002
"Canis,"Phlaocyon",3.35,7.6000000000000005
"Cormocyon,"Phlaocyon",22.615000000000002,25.615000000000002
"Canini","Phlaocyon",3.35,7.6000000000000005
"Oxetocyon","Phlaocyon",32.05,32.05
"Ectopocynus,"Phlaocyon",18.2,18.2
"Vulpini","Phlaocyon",0.06885,0.06885
"Urocyon,"Phlaocyon",7.6000000000000005,7.6000000000000005
"Cynarctoides,"Phlaocyon",22.615000000000002,22.615000000000002
"Mesocyon,"Phlaocyon",25.615000000000002,25.615000000000002
"Oxetocyon,"Phlaocyon",32.05,32.05
"Aelurodon,"Phlaocyon",14.785,18.2
"Paracynarctus,"Phlaocyon",14.785,18.2
"Lycaon,"Phlaocyon",0.00585,1.29985
"Rhizocyon,"Phlaocyon",25.615000000000002,25.615000000000002
"Osbornodon,"Phlaocyon",18.2,22.615000000000002
"Mesocyon,"Phlaocyon",25.615000000000002,25.615000000000002
"Vulpes,"Phlaocyon",0.06885,0.06885
"Borophagus,"Phlaocyon",4.4665,4.4665
"Phlaocyon","Phlaocyon",18.2,25.615000000000002
